Rank,Country,standardised
1,Denmark,338.1
2,France ,324.6
3,Australia,323
4,Belgium,321.1
5,Norway,318.3
6,usa,318
7,Ireland,307.9
8,South Korea,307.8
9,Netherlands,304.8
10,New Caledonia,297.9
11,Slovenia,296.3
12,Canada,295.7
13,New Zealand,295
14,Czech Republic,293.8
15,Switzerland,287
16,Hungary,285.4
17,Iceland,284.3
18,Germany,283.8
19,Israel,283.2
20,Luxembourg,280.3
21,Italy,278.6
22,Slovakia,276.9
23,United Kingdom,272.9
24,Sweden,270
25,Serbia,269.7
26,Croatia,266.9
27,Barbados,263.1
28,Armenia,257
29,Finland,256.8
30,French Polynesia,255
31,Austria,254.1
32,Lithuania,251.9
33,Uruguay,251
34,Spain,249
35,Latvia,246.8
36,Portugal,246.2
37,France,245
38,Malta,242.9
39,Estonia,242.8
40,Macedonia,239.3
41,Montenegro,238.3
42,Kazakhstan,236.5
43,Bulgaria,234.8
44,Poland,229.6
45,Romania,224.2
46,Belarus,218.7
47,Cuba,218
48,Japan,217.1
49,Argentina,216.7
50,Puerto Rico,211.1
