geneA	geneB	p-Value	Log Odds Ratio	Association
CFTR	TG	0.1093286163078594	1.062054692934312	Tendency towards co-occurrence
CFTR	TLR7	0.19841657023530174	1.2039728043259361	Tendency towards co-occurrence
CFTR	GPRC6A	0.0048085967173752036	1.8787708462176849	Tendency towards co-occurrence(Significant)
CFTR	TP53	0.0006605025518695716	1.9785353763713898	Tendency towards co-occurrence(Significant)
CFTR	GLI2	0.0005975628702381142	2.272125885509337	Tendency towards co-occurrence(Significant)
CFTR	NOD2	0.11343900212435137	1.252762968495368	Tendency towards co-occurrence
CFTR	TPO	0.39682004821192907	0.4054651081081644	Tendency towards co-occurrence
CFTR	TLR3	0.5412482740681054	-Infinity	Tendency towards mutual exclusivity
CFTR	APC	0.47168275397095694	-0.6378845018848958	Tendency towards mutual exclusivity
CFTR	MARCO	0.03723749288598791	1.3652409519220583	Tendency towards co-occurrence(Significant)
CFTR	FGF9	0.5373946375487846	0.44628710262841953	Tendency towards co-occurrence
CFTR	E2F1	0.09434694735158258	1.916922612182061	Tendency towards co-occurrence
CFTR	CIITA	0.5373946375487846	0.44628710262841953	Tendency towards co-occurrence
CFTR	GC	0.6051902510114525	0.21309321546070836	Tendency towards co-occurrence
CFTR	ABCA1	0.6051902510114525	0.21309321546070836	Tendency towards co-occurrence
CFTR	PLA2G3	0.3676505312869444	1.1592369104845446	Tendency towards co-occurrence
TG	TLR7	0.4702299011581429	-Infinity	Tendency towards mutual exclusivity
TG	GPRC6A	0.5043302890978556	0.2772107725844855	Tendency towards co-occurrence
TG	TP53	0.2600066719569959	0.6166071034376109	Tendency towards co-occurrence
TG	GLI2	0.49566971090223044	-0.5866039326530696	Tendency towards mutual exclusivity
TG	NOD2	0.010388931856463633	2.0992441689760155	Tendency towards co-occurrence(Significant)
TG	TPO	0.2743286207173022	0.6790624406782063	Tendency towards co-occurrence
TG	TLR3	0.3925413841121463	0.9808292530117262	Tendency towards co-occurrence
TG	APC	0.5824433956820453	-0.398496438792071	Tendency towards mutual exclusivity
TG	MARCO	0.0152432908827088	1.6843392206072183	Tendency towards co-occurrence(Significant)
TG	FGF9	0.4652287398594251	0.6834852696482084	Tendency towards co-occurrence
TG	E2F1	0.3925413841121463	0.9808292530117262	Tendency towards co-occurrence
TG	CIITA	0.4652287398594251	0.6834852696482084	Tendency towards co-occurrence
TG	GC	0.5297700988418858	0.450585543388634	Tendency towards co-occurrence
TG	ABCA1	0.5297700988418858	0.450585543388634	Tendency towards co-occurrence
TG	PLA2G3	0.6892318911035217	-Infinity	Tendency towards mutual exclusivity
