"state","meanRate"
"Alabama",7.23755458515284
"Alaska",7.94803493449782
"Arizona",6.23668122270742
"Arkansas",6.59759825327511
"California",7.31703056768559
"Colorado",5.45851528384279
"Connecticut",5.42554585152838
"Delaware",5.29672489082969
"District.of.Columbia",7.60982532751092
"Florida",6.15174672489083
"Georgia",6.00982532751092
"Hawaii",4.8
"Idaho",6.09628820960699
"Illinois",7.0056768558952
"Indiana",6.28471615720524
"Iowa",4.69126637554585
"Kansas",4.73711790393013
"Kentucky",6.90262008733624
"Louisiana",7.36768558951965
"Maine",5.80524017467249
"Maryland",5.29213973799127
"Massachusetts",5.45371179039301
"Michigan",8.01550218340611
"Minnesota",4.87729257641921
"Mississippi",7.65938864628821
"Missouri",6.02248908296943
"Montana",5.832096069869
"Nebraska",3.56135371179039
"Nevada",6.55698689956332
"New Hampshire",4.30218340611354
"New Jersey",6.20021834061135
"New Mexico",6.68296943231441
"New York",6.46659388646288
"North Carolina",5.83930131004367
"North Dakota",3.89978165938865
"Ohio",6.73842794759825
"Oklahoma",5.16266375545852
"Oregon",7.16877729257642
"Pennsylvania",6.42685589519651
"Rhode Island",6.52314410480349
"South Carolina",6.60218340611354
"South Dakota",3.74213973799127
"Tennessee",6.49585152838428
"Texas",6.09868995633188
"Utah",4.89213973799127
"Vermont",4.59890829694323
"Virginia",4.74257641921397
"Washington",7.00152838427948
"West Virginia",8.24934497816594
"Wisconsin",5.62292576419214
"Wyoming",4.99934497816594
