date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,National
20160101,41,50,31,16,37,1,39,23,47,24,32,2,17,49,25,13,10,40,42,15,20,21,26,14,48,18,27,5,44,3,19,45,33,35,6,36,9,28,29,43,34,4,22,11,7,8,12,46,51,30,38,0
20160201,47,50,27,18,37,4,41,21,48,19,33,1,13,49,30,14,9,43,40,15,23,20,24,12,42,25,26,5,38,2,22,44,31,39,6,34,17,28,29,45,35,3,16,11,8,7,10,46,51,32,36,0
20160301,44,51,28,8,36,5,47,16,48,21,31,3,12,49,34,15,9,40,45,13,22,19,29,20,37,23,25,4,41,2,26,46,30,32,10,33,17,24,35,42,38,1,11,18,7,6,14,43,50,27,39,0
20160401,40,51,41,7,37,10,43,19,42,26,34,5,11,49,30,12,8,29,45,13,25,14,23,15,35,20,17,3,48,1,32,46,28,36,6,31,21,27,38,33,39,2,18,22,16,4,9,44,50,24,47,0
20160501,45,51,41,15,30,11,39,20,37,27,31,6,7,44,25,9,12,36,48,10,22,16,28,8,49,21,13,3,50,1,35,47,23,32,5,29,33,26,42,38,34,2,17,24,18,4,14,43,46,19,40,0
20160601,46,47,45,13,40,9,41,22,43,24,35,8,6,42,21,12,17,34,50,7,19,16,25,10,48,26,14,3,49,1,27,51,20,30,5,28,32,33,37,31,38,2,29,23,15,4,11,36,44,18,39,0
20160701,42,44,47,17,43,7,36,19,46,26,32,4,8,37,18,13,22,28,50,9,20,14,33,10,48,29,11,6,49,3,38,51,24,25,2,21,30,40,45,39,34,1,23,27,12,5,15,41,35,16,31,0
20150101,30,44,36,33,45,12,37,19,51,21,34,5,16,41,28,13,14,29,46,22,23,20,39,10,47,24,17,1,49,6,42,40,31,25,2,26,7,32,27,50,43,4,38,11,3,8,15,35,48,18,9,0
20150201,33,49,34,30,46,14,39,18,50,21,35,4,15,40,22,9,13,26,41,27,24,19,31,12,42,32,16,1,47,7,45,44,36,28,2,23,8,37,25,48,43,3,29,10,5,6,17,38,51,20,11,0
20150301,34,49,37,29,46,14,40,18,50,23,35,3,15,38,19,8,12,27,43,24,25,20,36,11,41,31,16,1,48,6,44,45,30,28,2,21,9,42,26,47,39,4,32,10,5,7,17,33,51,22,13,0
20150401,35,49,43,29,46,11,38,22,48,30,39,7,15,33,18,5,16,25,45,23,26,21,27,8,40,28,12,1,50,6,41,47,32,36,2,20,10,37,24,44,42,3,34,13,4,9,17,31,51,19,14,0
20150501,42,45,38,27,43,12,31,18,48,29,44,8,11,34,22,6,14,28,46,16,24,23,37,7,50,25,9,2,49,4,35,47,26,39,1,21,17,32,30,40,41,3,36,15,10,5,20,33,51,19,13,0
20150601,44,45,43,28,39,12,31,22,48,32,41,10,9,37,18,5,15,29,46,13,26,23,35,7,49,24,11,3,47,4,33,51,25,38,1,21,19,36,30,34,42,2,40,17,8,6,16,27,50,20,14,0
20150701,46,29,44,28,43,11,30,21,50,31,40,5,12,39,18,6,19,32,45,14,24,23,42,7,47,25,8,4,48,3,34,51,26,41,1,22,15,35,33,36,37,2,38,20,10,9,16,27,49,17,13,0
20150801,46,33,47,23,44,6,34,25,51,35,40,7,14,38,20,8,17,26,45,9,28,22,29,5,43,24,10,3,48,4,30,49,27,41,1,18,15,36,31,39,42,2,37,21,12,11,19,32,50,16,13,0
20150901,44,43,48,23,40,5,31,26,51,36,41,12,11,37,17,6,13,28,46,10,30,29,24,7,47,20,9,3,50,4,32,49,27,38,1,21,18,34,25,33,42,2,39,22,8,14,19,35,45,16,15,0
20151001,43,47,46,20,44,8,31,26,51,33,39,10,11,40,21,7,13,29,45,12,32,25,27,5,48,17,14,3,49,4,30,50,28,38,1,22,19,35,23,34,41,2,36,24,9,6,18,37,42,15,16,0
20151101,42,50,41,20,45,8,31,21,51,32,33,9,12,46,25,6,11,35,39,13,29,26,18,7,47,14,16,2,48,4,27,49,30,40,1,28,17,36,22,34,37,3,38,23,5,10,15,43,44,19,24,0
20151201,43,50,40,25,42,8,32,20,49,31,34,2,12,46,23,9,10,41,33,13,29,26,24,11,51,14,21,3,47,4,22,48,30,37,1,27,16,36,17,35,39,5,38,18,6,7,15,44,45,19,28,0
20140101,39,42,32,37,47,19,38,22,44,23,34,5,17,49,24,10,7,45,14,29,18,25,46,12,48,31,16,2,50,8,40,33,35,27,1,36,11,43,28,51,21,3,26,15,4,6,13,30,41,20,9,0
20140201,40,41,26,32,46,18,35,21,43,23,36,6,17,50,27,8,10,47,12,31,19,22,48,13,45,38,16,2,49,9,39,30,37,28,1,33,11,42,24,51,20,3,29,14,5,4,15,34,44,25,7,0
20140301,40,42,33,24,48,19,37,21,43,25,38,6,16,47,26,8,11,45,15,29,20,22,49,12,46,36,17,2,50,10,39,34,35,30,1,23,9,44,27,51,18,3,32,13,4,5,14,31,41,28,7,0
20140401,34,47,36,28,49,20,37,29,48,32,42,11,16,43,22,5,7,40,17,35,23,24,46,8,44,26,13,2,51,12,38,39,33,30,1,18,6,45,21,50,19,4,31,14,3,9,15,27,41,25,10,0
20140501,39,42,40,28,45,15,41,21,47,32,46,11,12,44,24,6,14,43,29,22,23,19,48,7,51,30,9,2,50,10,35,36,31,34,1,20,13,37,26,49,25,3,33,16,4,5,17,27,38,18,8,0
20140601,44,40,41,27,45,15,32,24,49,29,47,14,10,42,21,5,12,36,38,16,25,23,48,8,51,30,11,3,50,9,33,46,28,31,1,22,13,37,26,43,34,2,39,18,6,4,17,20,35,19,7,0
20140701,44,26,40,27,46,14,35,20,49,33,47,11,13,41,23,5,15,32,39,16,24,21,51,8,50,31,10,3,48,9,38,43,28,34,1,25,12,37,29,45,36,2,42,19,6,7,17,22,30,18,4,0
20140801,41,28,45,23,48,13,33,22,51,36,49,11,14,38,24,8,15,25,46,16,26,21,43,4,44,30,9,2,50,10,34,39,31,35,1,20,12,37,29,47,42,3,40,18,7,6,19,27,32,17,5,0
20140901,37,34,45,26,47,11,35,24,51,38,46,15,12,36,22,7,13,23,48,17,25,29,41,4,49,27,8,2,50,9,40,42,30,31,1,20,14,33,21,43,44,3,39,18,5,10,19,28,32,16,6,0
20141001,33,38,44,25,47,10,35,26,51,34,45,14,11,36,27,7,12,21,48,18,28,22,41,4,49,23,13,2,50,9,39,42,29,31,1,20,15,40,24,43,46,3,37,17,6,5,19,30,32,16,8,0
20141101,31,45,41,26,49,10,35,18,51,33,42,11,15,36,28,6,9,23,48,25,27,20,29,3,44,24,14,2,50,8,39,43,32,30,1,21,12,40,22,46,47,4,37,16,5,7,19,38,34,17,13,0
20141201,30,47,43,31,48,13,32,18,51,33,42,6,15,35,28,12,10,20,46,24,26,21,34,7,49,25,16,2,50,8,39,40,29,27,1,22,11,37,23,44,45,4,36,14,3,5,19,38,41,17,9,0
20130101,27,22,26,32,48,25,33,21,38,30,39,4,20,49,43,8,9,37,23,28,16,18,46,12,47,19,14,2,51,10,44,17,40,45,1,35,7,42,36,50,41,3,34,15,6,5,13,31,29,24,11,0
20130201,26,27,22,29,48,25,36,23,41,24,37,4,20,49,42,7,10,40,16,32,17,19,47,11,46,21,14,2,51,12,45,18,39,43,1,34,8,44,33,50,38,3,35,15,6,5,13,30,31,28,9,0
20130301,21,28,30,26,49,29,38,23,44,24,39,4,22,48,41,8,10,42,17,35,18,19,47,11,43,20,15,2,51,12,45,16,36,40,1,31,7,46,33,50,34,3,37,14,6,5,13,27,25,32,9,0
20130401,17,30,34,31,49,26,38,27,45,28,42,5,20,48,37,7,9,40,21,33,18,22,46,10,43,16,14,2,51,11,47,19,35,41,1,25,8,44,29,50,36,3,39,15,4,6,13,24,23,32,12,0
20130501,23,26,34,33,46,27,38,20,44,30,43,8,14,47,39,6,12,41,29,24,25,21,48,9,49,22,10,3,51,11,45,18,35,42,1,31,13,36,32,50,37,2,40,16,7,4,15,28,17,19,5,0
20130601,27,19,38,28,47,25,33,20,44,29,45,10,14,50,37,6,12,42,34,16,21,26,49,9,48,22,11,3,51,7,40,30,31,43,1,35,13,36,32,46,39,2,41,18,8,4,15,23,17,24,5,0
20130701,29,16,40,32,47,21,38,22,44,30,45,7,13,49,31,6,14,42,26,17,23,25,51,9,46,27,11,3,50,10,43,28,33,41,1,34,12,36,35,48,37,2,39,19,8,5,15,24,18,20,4,0
20130801,33,17,45,29,47,20,39,23,46,34,43,9,15,49,30,6,13,40,26,14,21,24,48,7,44,27,10,3,51,11,41,28,35,38,1,31,12,36,32,50,37,2,42,18,8,5,16,25,22,19,4,0
20130901,33,21,43,29,47,19,38,22,48,34,44,12,14,49,28,6,11,41,26,16,23,27,46,8,45,24,9,2,51,10,42,30,39,35,1,36,13,31,32,50,37,3,40,20,5,7,15,25,18,17,4,0
20131001,32,27,42,28,47,20,38,21,48,33,44,12,13,49,30,5,10,43,23,15,25,24,45,6,46,18,11,3,51,9,41,31,39,35,1,36,14,37,29,50,34,2,40,19,7,4,16,26,22,17,8,0
20131101,32,36,41,26,48,20,37,17,47,29,43,11,16,49,30,6,8,44,15,24,21,22,46,5,45,19,12,2,50,10,39,33,40,38,1,34,13,42,27,51,28,3,35,18,4,7,14,31,25,23,9,0
20131201,33,40,41,38,48,20,36,18,45,27,44,6,15,49,28,7,8,42,12,22,19,21,46,9,47,24,16,2,50,10,39,34,37,31,1,29,13,43,25,51,26,3,32,17,4,5,14,35,30,23,11,0
20120101,24,25,33,28,49,29,31,18,47,35,42,13,34,41,37,7,9,36,22,32,14,16,43,11,45,19,17,2,51,6,40,20,38,46,1,30,4,44,26,50,48,3,27,15,8,5,12,39,23,21,10,0
20120201,29,26,30,22,49,33,31,20,44,34,43,11,32,41,36,6,9,37,17,35,18,16,42,12,38,21,14,2,51,7,45,19,39,47,1,27,5,46,23,50,48,3,24,15,10,4,13,40,28,25,8,0
20120301,26,29,30,22,49,32,33,20,45,34,42,13,31,41,36,6,10,35,18,37,16,14,46,12,38,21,17,2,51,7,47,19,39,43,1,23,4,48,24,50,44,3,27,15,9,5,11,40,25,28,8,0
20120401,26,29,33,24,49,34,38,25,43,39,46,13,31,41,32,5,11,30,20,35,17,15,42,8,36,18,14,2,51,6,48,19,40,44,1,21,4,47,22,50,45,3,27,16,9,7,12,37,28,23,10,0
20120501,31,24,35,26,49,32,37,19,42,38,43,14,20,41,33,4,11,34,25,28,21,15,45,8,44,16,12,2,51,9,48,17,39,46,1,22,6,40,29,50,47,3,30,18,10,5,13,36,27,23,7,0
20120601,39,18,38,25,50,28,35,22,41,40,44,14,15,42,33,4,11,32,30,19,20,16,45,10,47,17,12,2,51,7,43,27,36,46,1,24,8,37,31,49,48,3,34,21,9,5,13,29,26,23,6,0
20120701,39,14,40,29,50,26,35,22,38,41,44,12,16,42,32,4,13,33,27,18,19,17,49,11,46,23,8,3,51,9,47,25,36,45,1,28,7,37,34,48,43,2,31,20,10,5,15,30,24,21,6,0
20120801,36,14,39,27,50,29,38,25,40,42,44,12,18,43,33,6,13,32,26,16,21,17,46,11,41,22,8,2,51,9,45,23,35,48,1,24,7,37,34,49,47,3,31,19,10,4,15,30,28,20,5,0
20120901,33,16,38,27,49,28,39,29,47,40,45,13,17,41,34,4,11,35,21,20,23,22,42,8,46,18,9,2,51,12,48,25,36,43,1,24,10,37,32,50,44,3,31,19,7,5,14,30,26,15,6,0
20121001,32,20,36,27,50,29,38,28,44,39,45,13,17,42,35,5,11,33,21,22,23,16,41,6,46,18,12,2,51,9,48,24,37,47,1,25,10,40,34,49,43,3,31,19,8,4,14,30,26,15,7,0
20121101,26,24,35,27,49,32,38,21,46,37,43,11,25,45,40,5,8,34,15,28,20,17,39,7,41,18,14,2,51,12,48,22,36,47,1,23,9,44,31,50,42,3,30,16,6,4,13,33,29,19,10,0
20121201,24,25,35,29,50,30,31,22,41,37,43,5,23,48,39,7,8,36,16,26,20,17,44,9,46,18,14,2,51,12,45,21,38,47,1,27,10,40,32,49,42,3,33,15,6,4,13,34,28,19,11,0
20110101,46,21,32,27,50,26,29,17,31,43,44,8,35,36,33,7,11,41,22,25,13,18,48,12,39,30,19,2,51,4,34,14,24,45,1,38,5,42,20,49,47,3,37,16,15,6,9,40,28,23,10,0
20110201,44,22,28,26,50,24,29,19,38,39,40,8,33,36,30,6,11,45,15,27,13,18,48,12,41,32,20,2,51,4,37,14,23,46,1,34,7,42,21,49,47,3,35,17,16,5,9,43,31,25,10,0
20110301,39,23,32,24,50,26,33,19,41,44,42,8,36,34,29,6,11,43,18,28,12,16,48,14,38,30,21,2,51,3,37,13,22,45,1,31,4,46,20,49,47,5,35,17,15,7,9,40,27,25,10,0
20110401,41,23,39,26,50,28,32,21,43,44,45,11,33,35,29,5,10,36,19,30,13,16,47,12,40,27,17,2,51,4,37,14,22,46,1,31,6,42,18,49,48,3,34,20,15,7,8,38,25,24,9,0
20110501,41,19,35,28,50,29,33,15,44,42,43,13,26,38,31,5,10,40,21,27,16,17,48,9,46,30,12,2,51,4,37,18,24,45,1,32,7,36,22,49,47,3,34,20,14,6,11,39,25,23,8,0
20110601,43,15,40,28,50,25,31,18,46,41,44,14,20,39,32,7,9,38,29,19,16,17,49,10,47,30,12,3,51,5,35,21,23,45,1,33,8,36,26,42,48,2,37,27,13,4,11,34,22,24,6,0
20110701,39,11,40,30,50,24,31,19,43,44,45,14,21,41,34,5,12,38,25,16,18,17,49,15,42,29,9,3,51,6,37,23,27,46,1,35,8,36,28,48,47,2,32,26,13,7,10,33,20,22,4,0
20110801,40,11,41,25,50,26,31,19,44,42,45,14,21,43,37,6,12,34,27,15,18,16,46,9,39,30,10,2,51,7,36,22,28,47,1,32,8,38,29,48,49,3,35,24,13,4,17,33,23,20,5,0
20110901,39,13,40,26,50,27,31,20,46,42,47,17,21,41,36,5,12,37,24,15,19,18,44,9,43,29,10,2,51,6,38,23,30,45,1,32,8,34,25,48,49,3,35,28,11,7,14,33,22,16,4,0
