"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"1",0,6456,109,209,153,80,250,5157,170,4283,24,5958,86,100,95,210,173,123,93,3262,99,180,148,3767,54,48,77,67,39,210,90,81,115,156,2613,2614,314,436,12,121,73,6466,245,24,87,101,101,2069,1637,132,2249,78,26,84,190,29,50,1818,1,1849,2171,1332,746,113,4,25,909,63,6,45,2467,46,1932,1769,73,159,74,68,44,1656,24,6,2060,1514,417,5,43,54,711,104,23,1223,1991,157,84,49,81,32,10,1522
"2",6456,0,808,1034,924,552,861,4468,392,4467,51,13936,616,812,922,701,991,494,336,3340,534,680,753,4546,298,163,569,232,115,663,662,475,681,419,1780,1915,612,818,34,498,495,3687,586,71,349,132,136,1608,1492,386,1441,1862,109,305,307,95,258,1998,32,1355,1873,1071,769,341,34,47,695,379,51,295,3032,323,1294,1880,331,214,326,302,335,1120,50,37,1648,1375,544,30,316,226,1123,94,75,1062,1608,363,194,183,232,91,114,979
"3",109,808,0,1838,2172,1270,1269,175,785,713,1545,53,1528,8365,1818,1676,1453,1703,2053,309,1236,1181,1184,111,1905,1853,1248,643,1254,1210,993,1085,1999,1476,80,36,1047,1817,916,1035,971,50,1385,899,1027,3660,958,54,120,702,113,801,689,682,787,1049,726,66,632,26,45,113,176,594,655,998,157,767,51,493,47,753,20,21,850,159,638,633,776,43,651,649,14,47,532,542,702,647,305,755,793,52,27,589,657,383,666,164,151,30
"4",209,1034,1838,0,2372,1348,1885,213,588,785,96,94,1533,1900,1278,1563,2421,1447,929,425,1677,5857,1585,168,746,451,1711,389,329,1054,4427,1587,1536,953,67,29,912,1243,21,1530,2723,88,1501,143,963,297,262,87,218,4704,103,825,115,967,275,299,624,147,19,26,76,104,272,1267,51,185,284,775,59,478,66,514,28,50,661,383,458,803,727,41,49,55,27,297,930,56,520,663,481,113,213,41,77,490,485,602,605,129,203,27
"5",153,924,2172,2372,0,2196,2578,198,877,779,205,36,2473,2207,2620,1959,2017,2158,720,480,1745,2402,2633,124,590,593,2740,703,325,1341,2140,1553,1706,2005,50,25,1434,1575,111,1386,1100,40,1194,180,1291,423,303,82,152,778,117,1268,118,1201,314,287,839,58,61,22,56,133,458,835,77,185,304,1832,204,1163,40,1163,23,15,1434,273,1346,524,935,82,81,76,14,108,548,131,976,2036,339,166,180,94,30,868,841,641,1073,226,255,35
"6",80,552,1270,1348,2196,0,1741,95,1628,481,100,24,1656,1317,1432,1204,1171,1459,573,282,1008,997,1070,74,449,325,1250,1151,523,1056,833,939,978,1434,27,13,789,900,43,794,641,34,730,147,844,277,592,54,168,543,79,727,226,769,306,156,901,52,38,17,26,88,344,532,25,95,382,1040,2349,578,27,791,20,11,1304,362,568,531,551,38,171,40,14,26,306,101,495,1632,202,86,108,76,19,438,545,908,822,847,526,13
"7",250,861,1269,1885,2578,1741,0,234,711,627,68,132,1959,1230,2144,1284,2016,1239,580,582,2518,1323,1562,136,482,429,1553,452,213,1017,1023,2326,990,1081,121,67,1598,857,28,1340,1011,54,696,75,928,268,232,106,144,816,165,982,67,1919,141,191,570,126,25,62,74,131,305,847,17,103,164,667,135,1076,47,542,51,73,748,437,1267,563,1032,86,12,35,30,149,316,54,786,757,324,96,126,107,34,622,544,1104,702,95,179,39
"8",5157,4468,175,213,198,95,234,0,218,9425,22,4101,188,142,193,223,219,548,85,2589,123,159,208,2704,64,57,120,78,36,187,99,109,132,159,1752,1812,236,1196,6,121,90,2258,212,26,94,77,83,1595,1744,94,1188,130,20,87,138,35,57,1400,2,1377,1318,872,542,102,4,36,604,79,8,69,1380,106,1573,1342,125,137,84,86,82,1222,17,9,1149,900,317,10,64,59,412,58,23,871,1107,162,123,56,94,22,22,970
"9",170,392,785,588,877,1628,711,218,0,436,1525,95,880,629,662,595,471,458,311,169,344,409,543,72,289,235,411,4193,593,521,426,280,416,330,82,83,317,422,595,335,224,63,286,409,357,211,404,103,224,188,88,326,453,287,417,133,529,37,332,50,56,89,394,193,199,81,211,277,552,104,34,323,53,26,289,282,422,426,213,73,201,180,28,87,139,1302,236,120,143,95,97,61,31,214,154,1645,146,410,735,48
"10",4283,4467,713,785,779,481,627,9425,436,0,180,3588,561,716,841,573,914,396,227,2269,572,649,629,2475,189,117,564,189,51,390,476,515,522,319,1393,1414,660,655,43,453,358,2178,485,59,350,101,99,1199,1614,204,968,1858,62,276,213,80,199,1199,53,1047,1127,548,460,225,20,49,485,308,20,168,1199,267,1171,1147,272,186,318,226,268,851,39,36,1005,804,411,46,294,164,499,54,28,504,1010,357,183,201,172,48,72,749
