"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50"
"1",0,0,5746,1180,784,149,0,951,0,0,3340,1472,0,0,730,0,1829,2513,624,1116,0,0,0,1287,1801,448,1723,0,341,489,365,405,0,26,448,1619,399,0,0,0,0,682,351,347,1,577,600,0,0,329
"2",0,0,0,0,1,2,2338,0,3194,3,0,0,1736,3,1,2613,0,0,0,0,1861,1344,3,0,0,4,0,1068,0,0,0,13,0,97,0,0,0,0,0,917,0,0,0,1,2,0,0,605,567,0
"3",5746,0,0,713,409,55,0,647,0,0,1915,1126,0,0,362,0,1074,1443,309,805,0,0,0,963,2136,159,1217,0,213,263,243,252,0,8,124,908,171,0,0,0,0,508,286,156,0,552,397,0,0,256
"4",1180,0,713,0,1318,104,0,850,0,13,510,507,0,7,748,0,486,436,764,476,0,0,10,303,312,577,320,0,632,602,1194,460,0,18,426,231,545,0,0,0,0,266,237,508,4,227,262,0,0,277
"5",784,1,409,1318,0,97,0,543,0,3,257,422,0,1,976,0,201,218,837,309,0,0,3,181,160,568,220,0,602,383,360,466,0,15,440,115,421,0,0,0,0,216,364,490,4,202,157,0,0,252
"6",149,2,55,104,97,0,0,118,0,562,62,49,1,1383,120,0,47,40,139,39,0,0,626,24,16,86,32,0,71,34,25,70,5,373,92,19,63,3,4,0,1,10,28,34,254,6,10,0,0,10
"7",0,2338,0,0,0,0,0,0,1219,0,0,0,769,0,1,619,0,0,0,0,964,582,0,0,0,1,0,790,0,0,0,0,0,44,0,0,0,0,0,430,0,0,0,0,0,0,0,168,319,0
"8",951,0,647,850,543,118,0,0,0,3,286,560,0,4,293,0,186,205,336,441,0,0,2,225,163,327,214,0,373,332,297,200,0,10,196,86,205,0,0,0,0,209,222,179,0,159,154,0,0,160
"9",0,3194,0,0,0,0,1219,0,0,0,0,0,817,0,1,1251,0,0,0,0,694,1362,0,0,0,2,0,478,0,0,0,8,0,57,0,0,0,0,0,619,0,0,0,1,0,0,0,157,300,0
"10",0,3,0,13,3,562,0,3,0,0,0,0,0,548,16,0,0,0,1,0,0,0,312,0,1,1,0,0,0,1,8,2,0,195,2,0,0,0,0,0,0,0,1,1,152,1,0,0,0,1
"11",3340,0,1915,510,257,62,0,286,0,0,0,1294,0,0,206,0,2095,1916,215,722,0,0,0,1290,1095,138,550,0,140,154,134,123,0,14,176,1448,124,0,0,0,0,443,177,118,1,518,434,0,0,175
"12",1472,0,1126,507,422,49,0,560,0,0,1294,0,0,0,254,0,719,793,197,955,0,0,0,1354,632,202,538,0,164,155,152,127,0,8,127,564,140,0,0,0,0,665,403,90,0,1113,506,0,0,353
"13",0,1736,0,0,0,1,769,0,817,0,0,0,0,1,0,454,0,0,0,0,495,444,0,0,0,3,0,461,0,0,0,5,0,41,0,0,0,0,0,167,0,0,0,0,0,0,0,90,801,0
"14",0,3,0,7,1,1383,0,4,0,548,0,0,1,0,11,0,0,0,3,0,0,0,956,0,0,2,0,0,1,1,3,2,0,360,1,0,0,0,0,0,0,0,0,2,204,0,0,0,0,0
"15",730,1,362,748,976,120,1,293,1,16,206,254,0,11,0,0,167,192,865,188,0,0,7,143,113,617,194,0,419,253,208,472,0,14,397,73,525,0,0,0,0,115,316,329,5,91,92,0,0,172
"16",0,2613,0,0,0,0,619,0,1251,0,0,0,454,0,0,0,0,0,0,0,932,403,0,0,0,1,0,277,0,0,0,2,0,43,0,0,0,0,0,346,0,0,0,1,0,0,0,156,139,0
"17",1829,0,1074,486,201,47,0,186,0,0,2095,719,0,0,167,0,0,1883,200,605,0,0,0,710,643,113,293,0,97,167,146,86,0,10,84,947,89,0,0,0,0,399,130,85,0,348,395,0,0,175
"18",2513,0,1443,436,218,40,0,205,0,0,1916,793,0,0,192,0,1883,0,166,675,0,0,0,737,689,112,392,0,82,154,136,103,0,11,95,1121,75,0,0,0,1,324,149,86,0,357,319,0,0,130
"19",624,0,309,764,837,139,0,336,0,1,215,197,0,3,865,0,200,166,0,161,0,0,2,128,115,980,160,0,407,249,216,628,0,9,520,76,700,0,0,0,0,89,175,316,3,78,84,0,0,114
"20",1116,0,805,476,309,39,0,441,0,0,722,955,0,0,188,0,605,675,161,0,0,0,0,775,370,116,287,0,110,151,138,96,0,6,89,391,87,0,0,0,0,719,218,84,0,390,610,0,0,306
"21",0,1861,0,0,0,0,964,0,694,0,0,0,495,0,0,932,0,0,0,0,0,274,0,0,0,0,0,600,0,0,0,0,0,30,0,0,0,0,0,340,0,0,0,0,0,0,0,179,291,0
"22",0,1344,0,0,0,0,582,0,1362,0,0,0,444,0,0,403,0,0,0,0,274,0,0,0,0,0,0,320,0,0,0,2,0,62,0,0,0,0,0,254,0,0,0,0,0,0,0,97,371,0
"23",0,3,0,10,3,626,0,2,0,312,0,0,0,956,7,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,4,4,0,159,3,0,0,2,0,0,1,0,0,6,125,0,0,0,0,0
"24",1287,0,963,303,181,24,0,225,0,0,1290,1354,0,0,143,0,710,737,128,775,0,0,0,0,529,70,311,0,78,79,84,56,0,9,55,712,68,0,0,0,0,501,175,57,0,490,457,0,0,203
"25",1801,0,2136,312,160,16,0,163,0,1,1095,632,0,0,113,0,643,689,115,370,0,0,0,529,0,57,374,0,61,108,94,87,0,4,77,405,47,0,0,0,0,260,140,65,1,631,221,0,0,128
"26",448,4,159,577,568,86,1,327,2,1,138,202,3,2,617,1,113,112,980,116,0,0,1,70,57,0,93,0,330,208,141,529,0,2,387,43,788,0,0,0,0,79,75,300,0,58,49,0,0,85
"27",1723,0,1217,320,220,32,0,214,0,0,550,538,0,0,194,0,293,392,160,287,0,0,0,311,374,93,0,0,99,185,124,113,0,6,87,241,91,0,0,0,0,213,140,79,0,191,159,0,0,117
"28",0,1068,0,0,0,0,790,0,478,0,0,0,461,0,0,277,0,0,0,0,600,320,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,236,0,0,0,0,0,0,0,117,229,0
"29",341,0,213,632,602,71,0,373,0,0,140,164,0,1,419,0,97,82,407,110,0,0,1,78,61,330,99,0,0,157,150,310,0,5,340,40,308,0,0,0,0,60,85,231,0,49,64,0,0,110
"30",489,0,263,602,383,34,0,332,0,1,154,155,0,1,253,0,167,154,249,151,0,0,0,79,108,208,185,0,157,0,246,136,0,6,151,51,154,0,0,0,0,81,117,473,0,81,69,0,0,90
"31",365,0,243,1194,360,25,0,297,0,8,134,152,0,3,208,0,146,136,216,138,0,0,4,84,94,141,124,0,150,246,0,149,0,9,108,66,124,0,0,0,0,79,105,113,3,85,87,0,0,87
"32",405,13,252,460,466,70,0,200,8,2,123,127,5,2,472,2,86,103,628,96,0,2,4,56,87,529,113,0,310,136,149,0,0,3,300,53,446,0,0,0,0,65,64,189,0,41,66,0,1,56
