"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50"
"1",0,51,72,84,117,90,71,51,42,78,83,42,21,32,0,24,105,25,45,20,56,0,8,0,29,0,0,23,52,0,49,24,0,151,41,20,20,1,31,56,171,2,22,73,12,13,18,42,6,30
"2",51,0,69,32,29,43,31,34,32,32,21,121,42,47,0,82,14,129,55,21,16,0,93,0,42,0,0,26,11,0,26,95,0,7,6,17,71,1,6,12,11,0,37,14,186,4,5,8,18,5
"3",72,69,0,43,57,147,103,64,70,84,123,45,35,25,0,12,33,52,219,13,40,0,28,0,98,0,0,21,49,0,38,30,0,29,15,18,26,0,12,18,6,0,21,19,17,8,7,8,8,11
"4",84,32,43,0,66,49,79,122,56,77,31,24,27,30,0,37,132,60,29,17,93,0,31,0,32,0,0,25,23,0,28,38,0,25,37,26,22,0,30,27,24,0,20,28,7,11,102,67,11,30
"5",117,29,57,66,0,54,83,66,47,76,38,45,29,39,0,37,70,20,33,34,38,0,20,0,27,0,0,13,46,0,51,30,0,46,32,24,15,0,50,27,17,0,21,17,6,9,10,39,16,14
"6",90,43,147,49,54,0,53,39,47,42,172,23,15,32,0,29,26,23,141,19,21,0,17,0,91,0,1,12,30,0,13,24,0,23,25,13,8,1,16,16,31,0,17,8,8,5,1,11,10,12
"7",71,31,103,79,83,53,0,104,105,176,50,24,50,22,0,20,61,58,53,21,34,0,22,0,50,0,0,21,102,0,90,28,0,28,46,31,18,0,27,27,6,1,36,14,7,5,7,22,14,9
"8",51,34,64,122,66,39,104,0,72,85,26,27,43,21,0,33,66,72,38,9,39,0,28,0,37,0,0,18,49,0,44,26,0,13,29,19,27,0,17,22,5,0,29,22,4,15,8,42,6,9
"9",42,32,70,56,47,47,105,72,0,89,27,20,36,23,1,31,40,49,65,14,28,0,29,0,44,0,0,12,43,0,38,40,0,9,14,38,33,0,14,10,8,2,31,17,8,10,15,16,9,12
"10",78,32,84,77,76,42,176,85,89,0,57,28,38,12,0,21,72,56,42,13,30,0,17,0,42,0,0,15,70,0,77,21,0,23,32,21,20,0,31,28,15,1,38,15,6,5,12,25,4,8
"11",83,21,123,31,38,172,50,26,27,57,0,10,9,24,0,15,28,9,96,9,17,0,9,0,45,0,0,16,36,0,27,17,0,18,21,10,7,0,15,24,14,0,14,6,5,2,4,16,4,8
"12",42,121,45,24,45,23,24,27,20,28,10,0,25,26,0,53,21,50,46,9,17,0,50,0,36,0,0,104,9,0,15,44,0,6,2,9,36,0,7,3,3,0,11,9,12,1,3,10,9,5
"13",21,42,35,27,29,15,50,43,36,38,9,25,0,16,0,39,15,108,15,11,20,0,34,0,19,0,0,23,21,0,16,37,0,13,12,9,88,1,15,9,3,0,22,10,5,4,7,6,6,4
"14",32,47,25,30,39,32,22,21,23,12,24,26,16,0,0,60,15,23,18,47,16,0,45,0,13,0,0,14,16,0,15,55,0,10,10,13,13,3,15,6,9,0,5,8,4,9,5,9,84,5
"15",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,52,0,0,18,0,0,35,0,0,16,0,0,0,0,8,0,0,0,17,0,0,0,1,0,0,2,0
"16",24,82,12,37,37,29,20,33,31,21,15,53,39,60,0,0,21,41,20,45,19,0,82,0,14,0,0,27,11,0,10,66,0,8,10,9,31,3,17,7,11,0,11,8,13,9,9,13,25,5
"17",105,14,33,132,70,26,61,66,40,72,28,21,15,15,0,21,0,26,22,20,50,0,11,0,17,0,0,18,35,0,37,23,0,32,33,14,9,0,34,23,17,2,24,29,3,13,35,89,3,17
"18",25,129,52,60,20,23,58,72,49,56,9,50,108,23,0,41,26,0,33,11,27,0,41,0,34,0,0,38,13,0,12,53,0,6,15,13,71,0,17,11,3,0,33,9,17,4,4,9,9,9
"19",45,55,219,29,33,141,53,38,65,42,96,46,15,18,1,20,22,33,0,14,34,0,20,0,113,0,0,12,26,0,18,22,0,15,11,15,13,1,4,12,5,0,11,8,9,9,3,8,9,9
"20",20,21,13,17,34,19,21,9,14,13,9,9,11,47,0,45,20,11,14,0,10,0,24,0,9,0,0,7,10,0,8,39,0,12,5,3,3,1,20,6,4,0,2,6,1,18,4,7,20,7
"21",56,16,40,93,38,21,34,39,28,30,17,17,20,16,0,19,50,27,34,10,0,0,17,0,20,0,0,75,14,0,19,16,0,13,22,22,11,0,15,22,7,1,14,29,4,8,11,23,8,17
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",8,93,28,31,20,17,22,28,29,17,9,50,34,45,0,82,11,41,20,24,17,0,0,0,13,0,0,19,6,0,7,73,0,4,3,7,31,3,9,6,3,0,14,6,11,3,2,10,13,1
"24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,17,0,0,15,0,0,9,0,0,0,0,5,0,0,0,126,0,0,0,1,0,0,0,0
"25",29,42,98,32,27,91,50,37,44,42,45,36,19,13,0,14,17,34,113,9,20,0,13,0,0,0,0,16,18,0,19,17,0,15,6,10,10,0,8,11,10,0,13,6,14,2,1,7,4,3
