"word","frequency"
"united",2187
"party",1889
"national",1881
"american",1653
"john",1563
"south",1527
"world",1499
"british",1436
"australian",1422
"australia",1396
"university",1366
"international",1340
"house",1209
"york",1184
"european",1169
"wikinews",1051
"bush",1041
"north",1038
"david",983
"america",956
"city",945
"canada",916
"department",910
"union",907
"london",890
"council",876
"iraq",875
"state",875
"kingdom",857
"court",853
"george",850
"nations",844
"china",841
"news",835
"u.s.",818
"democratic",814
"uk",805
"france",764
"obama",752
"washington",719
"michael",707
"europe",704
"us",703
"bbc",699
"center",690
"committee",677
"west",668
"east",663
"paul",648
"for",643
"security",630
"california",609
"africa",605
"senate",595
"war",585
"air",584
"england",584
"white",582
"germany",577
"french",573
"india",573
"ministry",565
"russia",565
"zealand",560
"press",555
"israel",554
"republic",549
"iran",546
"japan",546
"category",540
"times",530
"police",529
"afghanistan",528
"association",525
"robert",520
"peter",516
"chinese",515
"internet",511
"act",507
"de",501
"islamic",498
"county",492
"cup",488
"commission",484
"african",482
"britain",477
"mark",469
"agency",465
"iraqi",461
"space",460
"james",458
"pakistan",456
"korea",451
"park",448
"justice",445
"un",443
"office",440
"royal",432
"army",428
"central",428
