"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"1",0,83,161,36,6,75,98,37,19,86,81,183,106,95,95,72,11,82,2,86,62,69,141,149,167,179,94,116,815,93,4,663,56,65,92,49,249,115,5,57,1,93,91,63,48,71,58,77,7,132,168,28,48,56,20,41,139,49,93,5,53,63,78,43,61,53,58,71,40,14,57,33,51,44,2,1,4,19,39,16,20,26,0,68,55,106,2,71,14,10,4,33,30,30,51,188,65,36,51,36
"2",83,0,272,30,5,29,31,39,79,21,79,69,128,40,73,118,10,17,3,33,20,32,46,99,12,81,3,82,8,79,3,50,27,77,74,287,22,4,11,21,4,13,76,59,18,74,16,17,2,101,44,13,0,115,20,17,4,12,2,9,15,41,4,22,51,3,28,5,9,18,49,31,0,40,7,2,13,9,56,12,14,24,0,67,9,4,1,25,8,1,0,17,1,9,76,14,43,23,33,30
"3",161,272,0,78,9,42,68,57,79,43,185,142,88,74,72,125,11,33,5,45,42,18,145,123,23,155,11,125,11,86,7,63,21,115,125,136,24,18,10,48,4,12,120,80,134,124,21,20,4,145,119,31,9,80,27,82,16,20,4,16,15,74,0,26,79,6,27,14,16,46,81,57,1,109,5,3,12,24,69,29,14,36,6,92,39,4,2,100,12,20,1,10,9,50,50,28,70,37,71,44
"4",36,30,78,0,3,48,103,132,44,2,56,41,36,26,60,30,32,74,1,32,14,3,42,50,6,24,6,39,1,27,2,21,3,24,71,96,2,8,11,17,1,4,36,5,43,25,15,7,1,34,17,14,2,31,67,16,2,3,0,52,1,10,1,3,20,1,11,2,4,5,22,6,1,52,4,2,41,42,32,16,45,19,25,11,42,1,0,14,84,8,3,0,2,9,11,12,10,7,21,28
"5",6,5,9,3,0,4,1,4,2,5,15,13,7,7,1,8,129,7,165,7,7,2,6,5,2,4,1,9,2,3,163,4,0,9,6,5,2,2,146,11,122,0,5,1,5,5,9,6,153,5,6,2,0,4,3,6,0,17,1,0,2,1,0,1,5,1,1,0,0,2,5,6,0,3,79,95,1,4,6,22,0,10,0,2,0,0,65,1,0,3,72,0,0,14,11,2,2,13,3,3
"6",75,29,42,48,4,0,40,35,51,278,38,30,59,58,8,25,2,174,3,120,43,90,20,17,65,24,45,29,56,17,4,11,127,18,10,22,45,70,2,57,0,55,13,7,18,10,62,72,2,19,13,47,247,8,28,9,74,37,67,16,69,11,92,70,9,28,43,30,119,7,6,13,38,21,1,2,20,3,5,14,3,16,15,14,103,43,0,12,6,6,3,51,213,42,5,2,12,10,10,32
"7",98,31,68,103,1,40,0,79,74,14,47,81,31,33,88,45,3,22,2,26,20,16,32,44,17,37,8,23,7,22,1,80,16,51,39,25,8,11,2,15,1,9,31,39,79,31,11,12,1,60,14,10,10,12,213,12,2,9,3,42,9,28,3,5,30,3,17,4,12,17,31,6,5,28,2,0,34,20,14,15,9,7,195,19,33,5,0,20,11,0,1,9,3,13,12,34,10,14,9,13
"8",37,39,57,132,4,35,79,0,65,12,33,47,23,14,87,17,7,20,1,5,16,52,16,28,34,21,6,13,16,14,1,12,3,30,9,17,35,13,1,9,2,12,14,52,4,17,21,16,1,22,12,9,7,2,55,26,13,6,7,81,5,33,1,8,13,2,12,2,8,13,11,21,3,19,0,1,33,23,27,5,34,4,9,14,25,6,1,9,74,3,1,3,2,6,12,7,31,46,37,10
"9",19,79,79,44,2,51,74,65,0,75,29,37,32,7,21,54,5,9,1,2,5,5,29,13,13,37,1,17,1,17,4,16,1,19,8,0,4,3,0,0,1,3,18,6,8,37,20,16,0,9,10,0,1,35,25,10,2,3,1,22,1,2,0,5,19,0,5,1,3,2,9,24,1,23,1,1,27,15,37,5,16,2,46,39,17,1,2,7,26,0,1,0,1,10,9,9,9,16,4,8
"10",86,21,43,2,5,278,14,12,75,0,17,20,44,47,3,26,1,33,0,39,26,121,12,10,99,20,51,12,72,15,2,8,86,9,1,3,48,72,0,26,0,45,0,3,6,7,33,58,0,4,3,20,72,9,4,5,87,10,78,2,59,1,52,156,6,22,17,26,106,5,6,11,42,13,0,2,4,2,16,3,3,2,0,20,2,58,0,3,1,2,0,23,50,39,3,5,2,13,2,15
"11",81,79,185,56,15,38,47,33,29,17,0,74,41,68,37,98,11,28,3,40,31,24,102,53,33,70,7,122,12,48,16,34,12,63,57,43,16,6,7,40,3,13,53,31,74,43,20,22,2,81,42,54,5,29,20,19,13,9,2,3,8,25,5,9,40,5,13,12,2,19,51,20,1,55,6,2,8,16,32,17,17,22,1,33,6,5,0,29,2,23,7,5,6,16,26,10,31,31,23,20
"12",183,69,142,41,13,30,81,47,37,20,74,0,46,43,103,74,6,25,1,35,29,13,77,113,23,109,12,55,9,97,4,141,24,66,65,25,17,19,4,18,0,22,64,48,75,123,13,12,3,111,102,14,14,25,15,68,1,7,2,13,8,56,9,13,55,2,23,11,10,20,37,29,10,83,3,1,9,16,23,12,21,22,7,59,21,7,0,105,7,86,3,12,7,16,38,68,38,32,32,30
"13",106,128,88,36,7,59,31,23,32,44,41,46,0,81,17,43,15,55,4,102,31,43,35,31,31,33,108,60,43,40,2,21,36,43,79,76,42,25,4,103,2,34,57,26,32,103,30,52,4,53,25,35,16,130,35,12,14,413,21,2,25,10,29,17,19,36,14,45,15,8,25,17,52,26,4,5,1,12,51,7,4,21,0,35,1,26,1,17,4,3,1,22,23,8,22,13,37,17,15,20
"14",95,40,74,26,7,58,33,14,7,47,68,43,81,0,15,47,8,64,1,97,242,66,71,26,49,32,60,65,39,30,4,31,43,62,44,23,33,35,6,107,2,32,32,16,53,29,51,51,10,31,31,69,23,37,11,18,37,59,16,5,23,11,25,15,47,21,20,29,19,18,220,22,36,32,2,2,0,12,20,8,4,26,0,19,5,20,0,22,4,5,2,21,18,38,23,21,23,12,11,32
"15",95,73,72,60,1,8,88,87,21,3,37,103,17,15,0,33,5,13,0,6,1,6,35,396,9,62,1,36,3,47,0,85,6,25,28,27,12,17,2,8,0,22,24,34,19,30,14,7,1,52,44,2,3,11,26,31,8,0,1,52,0,34,2,2,20,3,23,9,9,12,24,9,0,20,1,1,18,17,8,8,19,4,19,81,24,2,1,62,10,38,1,5,0,3,29,30,15,9,12,42
"16",72,118,125,30,8,25,45,17,54,26,98,74,43,47,33,0,5,35,3,46,36,11,67,52,17,69,2,57,0,64,1,55,5,77,63,50,15,5,11,22,2,20,69,35,44,72,23,16,5,57,46,14,3,36,19,20,6,11,0,0,0,15,1,11,41,0,18,4,5,66,54,27,0,48,1,0,6,52,59,18,8,22,0,49,3,6,2,34,2,3,1,3,3,19,30,16,38,15,26,18
"17",11,10,11,32,129,2,3,7,5,1,11,6,15,8,5,5,0,8,51,13,1,2,14,7,4,6,8,13,1,9,453,9,4,11,29,13,2,0,77,12,56,4,12,1,3,11,9,4,42,6,15,3,1,14,6,2,2,7,0,1,2,2,1,2,2,3,2,2,1,2,10,3,0,0,51,23,4,3,11,8,2,2,0,3,2,1,10,3,12,2,29,0,1,2,11,6,6,7,1,6
"18",82,17,33,74,7,174,22,20,9,33,28,25,55,64,13,35,8,0,7,205,59,66,17,12,38,33,42,27,52,10,6,20,65,22,20,17,37,24,2,61,3,54,14,4,23,23,71,74,8,13,18,43,31,9,21,10,33,41,23,3,21,7,46,16,11,28,25,44,53,55,8,10,36,12,6,5,17,8,3,6,9,16,4,8,6,23,3,16,0,10,8,42,155,27,3,8,11,9,6,24
"19",2,3,5,1,165,3,2,1,1,0,3,1,4,1,0,3,51,7,0,2,7,0,1,3,2,2,1,7,4,1,73,1,0,4,2,0,1,1,51,3,90,1,0,0,1,1,12,6,67,3,1,1,0,0,0,0,0,14,1,1,0,1,0,0,1,5,0,3,0,1,0,1,1,1,59,64,0,0,3,15,0,8,0,0,0,0,79,1,0,2,59,0,0,6,6,0,2,12,1,0
"20",86,33,45,32,7,120,26,5,2,39,40,35,102,97,6,46,13,205,2,0,70,77,20,27,40,27,108,25,42,21,6,20,59,33,34,28,36,41,6,94,3,88,34,9,36,28,50,59,7,30,12,58,38,20,23,11,26,82,32,5,25,2,44,16,26,48,20,64,37,57,22,9,50,28,4,2,3,14,14,9,12,19,3,14,2,29,4,5,0,13,5,31,24,15,8,9,17,6,8,37
"21",62,20,42,14,7,43,20,16,5,26,31,29,31,242,1,36,1,59,7,70,0,66,27,16,55,82,40,23,30,18,3,6,39,15,9,13,31,30,1,48,6,23,9,7,37,16,37,42,11,13,6,52,15,7,7,10,24,30,15,2,15,6,14,22,9,33,5,14,21,29,19,25,17,30,4,5,8,2,13,10,1,33,0,13,0,18,1,1,0,4,2,13,13,39,8,2,12,8,8,16
"22",69,32,18,3,2,90,16,52,5,121,24,13,43,66,6,11,2,66,0,77,66,0,5,9,56,13,29,5,60,11,2,6,66,18,6,12,34,85,0,38,2,49,2,2,10,16,35,34,3,6,5,35,49,2,6,14,46,24,78,5,39,3,66,46,4,30,19,21,74,24,8,10,46,9,1,1,2,0,12,9,2,7,5,4,2,46,0,10,0,5,3,13,49,23,3,2,1,20,2,17
"23",141,46,145,42,6,20,32,16,29,12,102,77,35,71,35,67,14,17,1,20,27,5,0,57,9,52,10,220,3,57,7,65,5,65,162,16,10,4,5,32,0,8,114,25,57,62,9,9,2,89,77,21,2,56,11,24,1,6,2,0,1,39,1,3,54,3,15,5,4,13,55,99,0,45,4,1,9,21,46,6,8,47,0,44,4,2,1,49,4,6,4,4,4,12,91,29,47,16,28,23
"24",149,99,123,50,5,17,44,28,13,10,53,113,31,26,396,52,7,12,3,27,16,9,57,0,11,90,6,56,10,66,2,125,17,38,39,56,15,19,3,14,3,26,34,49,22,38,18,8,4,76,58,7,12,26,9,29,6,7,12,11,11,38,32,4,29,9,24,18,12,15,33,19,5,36,2,1,1,8,21,12,24,15,1,70,95,1,3,33,3,4,2,7,4,8,39,51,21,14,20,27
"25",167,12,23,6,2,65,17,34,13,99,33,23,31,49,9,17,4,38,2,40,55,56,9,11,0,15,47,15,159,23,3,4,51,18,5,6,156,58,1,31,2,57,2,29,3,15,30,32,10,18,5,22,27,1,3,6,182,17,44,3,24,7,40,23,6,16,20,23,26,7,16,20,23,6,0,1,1,3,6,10,1,10,3,8,2,121,0,6,1,1,0,15,16,34,6,4,12,25,2,14
"26",179,81,155,24,4,24,37,21,37,20,70,109,33,32,62,69,6,33,2,27,82,13,52,90,15,0,6,67,7,40,4,159,11,36,42,37,12,4,6,13,1,20,38,38,33,49,10,6,4,76,215,6,4,27,9,10,3,7,2,8,1,52,4,7,29,3,19,19,1,27,32,23,1,57,2,1,10,9,20,13,35,15,0,39,26,9,1,46,9,5,2,1,9,14,25,115,31,22,22,19
"27",94,3,11,6,1,45,8,6,1,51,7,12,108,60,1,2,8,42,1,108,40,29,10,6,47,6,0,19,72,7,0,5,32,4,8,8,55,32,0,88,1,36,7,6,12,6,23,81,4,3,5,22,31,5,46,1,21,98,32,1,17,4,34,7,3,42,14,130,14,8,5,2,122,1,0,1,0,0,3,1,18,9,0,5,2,51,0,2,14,0,0,27,24,6,2,5,8,1,8,12
"28",116,82,125,39,9,29,23,13,17,12,122,55,60,65,36,57,13,27,7,25,23,5,220,56,15,67,19,0,13,57,8,57,16,50,117,35,13,6,6,45,5,8,86,23,45,46,9,12,4,71,54,28,5,71,10,14,6,14,3,3,3,29,8,4,40,10,15,12,4,9,33,39,4,37,8,3,2,13,36,5,24,31,0,33,6,3,0,38,4,4,6,7,8,18,25,31,29,15,26,19
"29",815,8,11,1,2,56,7,16,1,72,12,9,43,39,3,0,1,52,4,42,30,60,3,10,159,7,72,13,0,12,2,2,45,7,1,9,236,106,0,14,2,76,1,12,4,3,35,50,4,4,0,16,34,1,2,1,133,30,87,0,43,4,67,30,3,36,28,52,33,2,3,10,45,3,1,0,0,0,2,4,1,6,0,6,1,105,0,5,0,0,2,22,17,15,1,1,7,14,4,10
"30",93,79,86,27,3,17,22,14,17,15,48,97,40,30,47,64,9,10,1,21,18,11,57,66,23,40,7,57,12,0,1,50,4,46,73,30,17,5,4,18,3,9,49,30,19,32,8,7,7,46,30,22,5,45,11,8,13,5,0,2,12,12,1,7,22,0,5,1,2,13,30,40,0,37,5,2,2,16,50,7,7,37,0,43,15,5,3,21,3,0,7,5,0,5,115,16,27,13,22,21
"31",4,3,7,2,163,4,1,1,4,2,16,4,2,4,0,1,453,6,73,6,3,2,7,2,3,4,0,8,2,1,0,3,1,6,7,3,2,0,81,27,72,0,4,3,3,5,15,4,61,5,5,3,0,2,3,0,0,5,0,0,0,0,0,0,1,2,1,0,0,0,2,3,0,3,59,35,0,0,5,12,0,6,0,3,0,1,26,2,0,2,48,0,0,7,6,1,3,8,1,0
"32",663,50,63,21,4,11,80,12,16,8,34,141,21,31,85,55,9,20,1,20,6,6,65,125,4,159,5,57,2,50,3,0,7,42,50,25,6,6,5,11,0,6,56,36,23,47,12,14,2,93,143,1,9,21,11,18,1,3,0,3,2,43,3,7,32,7,24,10,3,9,37,12,2,23,3,0,3,11,14,7,16,4,8,47,57,0,1,51,3,2,0,8,13,2,23,185,34,14,27,15
"33",56,27,21,3,0,127,16,3,1,86,12,24,36,43,6,5,4,65,0,59,39,66,5,17,51,11,32,16,45,4,1,7,0,6,5,14,29,79,0,38,0,58,5,2,22,4,13,35,2,3,7,18,48,0,4,1,32,32,80,0,96,10,125,25,6,27,49,61,133,4,11,2,24,8,0,1,12,3,0,3,3,8,0,4,3,46,0,6,0,1,1,25,101,11,1,3,10,7,1,16
"34",65,77,115,24,9,18,51,30,19,9,63,66,43,62,25,77,11,22,4,33,15,18,65,38,18,36,4,50,7,46,6,42,6,0,52,32,15,1,9,26,3,2,46,174,33,33,12,11,5,46,44,14,3,26,9,21,5,11,1,3,3,45,1,1,79,4,15,6,4,22,71,45,3,35,2,3,7,25,20,9,10,30,0,29,5,2,0,104,8,4,6,5,10,9,24,24,29,25,25,38
