"word1","word2","relation"
1,1,0
1,2,83
1,3,161
1,4,36
1,5,6
1,6,75
1,7,98
1,8,37
1,9,19
1,10,86
1,11,81
1,12,183
1,13,106
1,14,95
1,15,95
1,16,72
1,17,11
1,18,82
1,19,2
1,20,86
1,21,62
1,22,69
1,23,141
1,24,149
1,25,167
1,26,179
1,27,94
1,28,116
1,29,815
1,30,93
1,31,4
1,32,663
1,33,56
1,34,65
1,35,92
1,36,49
1,37,249
1,38,115
1,39,5
1,40,57
1,41,1
1,42,93
1,43,91
1,44,63
1,45,48
1,46,71
1,47,58
1,48,77
1,49,7
1,50,132
1,51,168
1,52,28
1,53,48
1,54,56
1,55,20
1,56,41
1,57,139
1,58,49
1,59,93
1,60,5
1,61,53
1,62,63
1,63,78
1,64,43
1,65,61
1,66,53
1,67,58
1,68,71
1,69,40
1,70,14
1,71,57
1,72,33
1,73,51
1,74,44
1,75,2
1,76,1
1,77,4
1,78,19
1,79,39
1,80,16
1,81,20
1,82,26
1,83,0
1,84,68
1,85,55
1,86,106
1,87,2
1,88,71
1,89,14
1,90,10
1,91,4
1,92,33
1,93,30
1,94,30
1,95,51
1,96,188
1,97,65
1,98,36
1,99,51
1,100,36
2,1,83
2,2,0
2,3,272
2,4,30
2,5,5
2,6,29
2,7,31
2,8,39
2,9,79
2,10,21
2,11,79
2,12,69
2,13,128
2,14,40
2,15,73
2,16,118
2,17,10
2,18,17
2,19,3
2,20,33
2,21,20
2,22,32
2,23,46
2,24,99
2,25,12
2,26,81
2,27,3
2,28,82
2,29,8
2,30,79
2,31,3
2,32,50
2,33,27
2,34,77
2,35,74
2,36,287
2,37,22
2,38,4
2,39,11
2,40,21
2,41,4
2,42,13
2,43,76
2,44,59
2,45,18
2,46,74
2,47,16
2,48,17
2,49,2
2,50,101
2,51,44
2,52,13
2,53,0
2,54,115
2,55,20
2,56,17
2,57,4
2,58,12
2,59,2
2,60,9
2,61,15
2,62,41
2,63,4
2,64,22
2,65,51
2,66,3
2,67,28
2,68,5
2,69,9
2,70,18
2,71,49
2,72,31
2,73,0
2,74,40
2,75,7
2,76,2
2,77,13
2,78,9
2,79,56
2,80,12
2,81,14
2,82,24
2,83,0
2,84,67
2,85,9
2,86,4
2,87,1
2,88,25
2,89,8
2,90,1
2,91,0
2,92,17
2,93,1
2,94,9
2,95,76
2,96,14
2,97,43
2,98,23
2,99,33
2,100,30
3,1,161
3,2,272
3,3,0
3,4,78
3,5,9
3,6,42
3,7,68
3,8,57
3,9,79
3,10,43
3,11,185
3,12,142
3,13,88
3,14,74
3,15,72
3,16,125
3,17,11
3,18,33
3,19,5
3,20,45
3,21,42
3,22,18
3,23,145
3,24,123
3,25,23
3,26,155
3,27,11
3,28,125
3,29,11
3,30,86
3,31,7
3,32,63
3,33,21
3,34,115
3,35,125
3,36,136
3,37,24
3,38,18
3,39,10
3,40,48
3,41,4
3,42,12
3,43,120
3,44,80
3,45,134
3,46,124
3,47,21
3,48,20
3,49,4
3,50,145
3,51,119
3,52,31
3,53,9
3,54,80
3,55,27
3,56,82
3,57,16
3,58,20
3,59,4
3,60,16
3,61,15
3,62,74
3,63,0
3,64,26
3,65,79
3,66,6
3,67,27
3,68,14
3,69,16
3,70,46
3,71,81
3,72,57
3,73,1
3,74,109
3,75,5
3,76,3
3,77,12
3,78,24
3,79,69
3,80,29
3,81,14
3,82,36
3,83,6
3,84,92
3,85,39
3,86,4
3,87,2
3,88,100
3,89,12
3,90,20
3,91,1
3,92,10
3,93,9
3,94,50
3,95,50
3,96,28
3,97,70
3,98,37
3,99,71
3,100,44
4,1,36
4,2,30
4,3,78
4,4,0
4,5,3
4,6,48
4,7,103
4,8,132
4,9,44
4,10,2
4,11,56
4,12,41
4,13,36
4,14,26
4,15,60
4,16,30
4,17,32
4,18,74
4,19,1
4,20,32
4,21,14
4,22,3
4,23,42
4,24,50
4,25,6
4,26,24
4,27,6
4,28,39
4,29,1
4,30,27
4,31,2
4,32,21
4,33,3
4,34,24
4,35,71
4,36,96
4,37,2
4,38,8
4,39,11
4,40,17
4,41,1
4,42,4
4,43,36
4,44,5
4,45,43
4,46,25
4,47,15
4,48,7
4,49,1
4,50,34
4,51,17
4,52,14
4,53,2
4,54,31
4,55,67
4,56,16
4,57,2
4,58,3
4,59,0
4,60,52
4,61,1
4,62,10
4,63,1
4,64,3
4,65,20
4,66,1
4,67,11
4,68,2
4,69,4
4,70,5
4,71,22
4,72,6
4,73,1
4,74,52
4,75,4
4,76,2
4,77,41
4,78,42
4,79,32
4,80,16
4,81,45
4,82,19
4,83,25
4,84,11
4,85,42
4,86,1
4,87,0
4,88,14
4,89,84
4,90,8
4,91,3
4,92,0
4,93,2
4,94,9
4,95,11
4,96,12
4,97,10
4,98,7
4,99,21
4,100,28
5,1,6
5,2,5
5,3,9
5,4,3
5,5,0
5,6,4
5,7,1
5,8,4
5,9,2
5,10,5
5,11,15
5,12,13
5,13,7
5,14,7
5,15,1
5,16,8
5,17,129
5,18,7
5,19,165
5,20,7
5,21,7
5,22,2
5,23,6
5,24,5
5,25,2
5,26,4
5,27,1
5,28,9
5,29,2
5,30,3
5,31,163
5,32,4
5,33,0
5,34,9
5,35,6
5,36,5
5,37,2
5,38,2
5,39,146
5,40,11
5,41,122
5,42,0
5,43,5
5,44,1
5,45,5
5,46,5
5,47,9
5,48,6
5,49,153
5,50,5
5,51,6
5,52,2
5,53,0
5,54,4
5,55,3
5,56,6
5,57,0
5,58,17
5,59,1
5,60,0
5,61,2
5,62,1
5,63,0
5,64,1
5,65,5
5,66,1
5,67,1
5,68,0
5,69,0
5,70,2
5,71,5
5,72,6
5,73,0
5,74,3
5,75,79
5,76,95
5,77,1
5,78,4
5,79,6
5,80,22
5,81,0
5,82,10
5,83,0
5,84,2
5,85,0
5,86,0
5,87,65
5,88,1
5,89,0
5,90,3
5,91,72
5,92,0
5,93,0
5,94,14
5,95,11
5,96,2
5,97,2
5,98,13
5,99,3
5,100,3
6,1,75
6,2,29
6,3,42
6,4,48
6,5,4
6,6,0
6,7,40
6,8,35
6,9,51
6,10,278
6,11,38
6,12,30
6,13,59
6,14,58
6,15,8
6,16,25
6,17,2
6,18,174
6,19,3
6,20,120
6,21,43
6,22,90
6,23,20
6,24,17
6,25,65
6,26,24
6,27,45
6,28,29
6,29,56
6,30,17
6,31,4
6,32,11
6,33,127
