date,united,party,national,american,john,south,world,british,australian,australia,university,international,house,york,european,wikinews,bush,north,david,america,city,canada,department,union,london,council,iraq,state,kingdom,court,george,nations,china,news,u.s.,democratic,uk,france,obama,washington,michael,europe,us,bbc,center,committee,west,east,paul,for,security,california,africa,senate,war,air,england,white,germany,french,india,ministry,russia,zealand,press,israel,republic,iran,japan,category,times,police,afghanistan,association,robert,peter,chinese,internet,act,de,islamic,county,cup,commission,african,britain,mark,agency,iraqi,space,james,pakistan,korea,park,justice,un,office,royal,army,central
200411,6,8,14,9,4,13,6,7,3,4,1,1,3,3,8,0,5,6,1,5,3,2,4,3,0,2,5,1,3,3,4,3,7,8,9,4,4,2,0,3,5,8,2,5,3,0,1,3,3,6,5,2,2,2,6,3,2,1,3,1,5,1,2,4,6,4,5,1,8,3,5,2,0,2,0,1,5,6,1,2,0,0,1,9,0,1,2,2,3,1,4,0,8,0,1,3,1,0,4,3
200412,4,9,6,9,2,8,8,3,4,5,2,9,6,4,11,1,7,2,5,4,2,11,3,4,0,6,5,7,1,6,2,2,7,6,7,4,1,4,0,8,4,3,0,2,2,5,0,3,0,2,1,1,3,1,3,1,1,0,4,1,4,1,0,1,1,2,7,0,2,5,3,2,0,3,3,0,4,3,0,6,1,2,0,3,2,0,1,4,1,0,3,2,1,0,0,3,5,2,7,2
200501,11,22,32,29,10,12,11,20,11,12,12,12,16,12,23,1,18,6,6,19,3,11,7,9,5,5,14,7,5,9,7,5,21,7,11,5,7,4,0,5,5,14,5,3,6,3,3,5,1,3,8,0,0,3,5,13,4,5,7,1,1,4,1,1,0,9,12,1,4,17,5,2,3,4,6,0,18,2,0,10,3,3,0,4,3,4,4,5,15,8,4,2,0,2,5,6,7,5,10,7
200502,15,26,25,20,10,12,5,11,7,6,12,12,17,19,24,1,13,8,3,13,6,2,14,17,8,8,15,5,1,5,11,9,8,8,3,7,6,7,0,1,4,5,4,4,4,4,6,5,2,6,10,2,5,2,3,3,2,2,2,5,0,12,2,0,3,8,5,5,2,10,4,4,0,1,3,1,4,4,2,16,6,3,1,11,7,3,2,4,11,2,4,0,3,2,4,7,4,3,4,3
200503,21,57,21,38,12,13,17,12,13,14,20,12,21,14,26,35,26,9,6,21,7,10,14,11,8,15,19,12,8,13,14,7,26,10,7,16,6,10,0,15,9,11,16,11,11,5,6,9,17,10,7,11,8,5,6,3,3,13,8,7,12,11,12,10,14,10,21,5,14,13,11,1,4,3,8,6,16,9,5,7,5,13,0,12,9,9,2,9,5,8,8,5,3,4,7,13,7,1,3,13
200504,27,35,34,44,47,21,21,16,42,20,30,26,20,25,41,21,21,17,14,26,16,13,22,18,11,21,29,18,9,6,16,10,25,27,26,13,17,10,0,8,11,16,24,18,11,15,9,11,35,12,15,9,6,15,15,6,8,11,5,13,8,13,10,4,19,7,13,5,12,13,19,4,1,8,9,17,22,19,5,8,11,18,3,8,18,11,4,11,19,32,3,1,9,6,7,12,11,9,10,9
200505,25,58,28,25,20,17,30,19,7,5,14,14,16,16,44,12,31,21,11,13,4,4,13,30,12,10,18,11,14,6,18,8,14,17,21,18,21,12,0,15,13,29,9,17,13,8,9,13,5,10,6,12,11,7,12,6,5,11,8,11,4,8,12,3,14,8,10,3,4,17,15,2,11,4,5,9,6,7,0,12,7,10,6,4,5,4,6,8,6,7,8,4,6,4,4,2,5,3,6,10
200509,34,52,40,40,24,22,22,15,21,14,142,17,19,17,11,9,34,21,15,13,16,5,19,13,7,14,15,34,10,7,22,17,11,8,17,12,12,3,0,19,13,2,9,7,20,12,20,13,10,12,12,12,8,11,9,5,3,9,15,5,3,4,1,4,7,3,6,2,6,12,5,7,4,16,9,9,7,16,6,6,3,6,2,7,6,6,5,9,10,5,1,4,4,11,5,11,25,1,12,5
200506,9,16,14,24,21,15,13,18,5,3,8,15,19,8,13,1,20,12,7,9,8,13,5,10,11,10,18,7,3,19,8,3,1,4,7,10,12,9,0,7,6,9,10,2,9,5,3,7,16,6,5,6,18,14,8,2,4,5,2,5,0,4,3,1,7,3,10,12,5,8,6,4,4,5,3,3,0,3,1,5,9,5,4,3,13,6,1,0,9,0,0,0,5,7,5,6,4,3,3,3
200507,34,10,22,33,27,8,14,48,12,11,14,13,32,22,24,6,26,10,16,12,21,13,15,10,61,13,26,10,19,11,12,5,6,25,28,7,16,16,0,8,10,11,7,22,6,9,7,11,7,3,4,11,8,9,7,3,14,9,9,8,4,6,6,2,15,10,7,5,11,9,16,26,6,6,5,8,4,1,12,10,17,9,1,10,9,16,5,9,13,4,6,2,2,6,6,7,2,10,16,13
